bug_id,severity,concept_scores
799725,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
801280,S3,"[0.         0.         0.         0.08632977 0.         0.
 0.         0.21309064 0.         0.18607436 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
802890,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
810107,S3,"[0.12971565 0.         0.         0.18811291 0.11114906 0.
 0.13493583 0.18185155 0.         0.         0.         1.
 0.         0.         0.         1.         0.         0.        ]"
812823,S3,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.18903504 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
817924,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
822734,S3,"[0.1441284  0.         0.         0.2588672  0.07165685 0.
 0.         0.         0.         0.         0.         1.
 0.         1.         0.         1.         0.         0.        ]"
822898,S3,"[0.13669313 0.         0.         0.15727748 0.         0.
 0.         0.15119962 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
824174,S3,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.18099277 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
825254,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
829802,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
832033,S3,"[0.15255313 0.         0.         0.17771731 0.12090118 0.
 0.08969896 0.         0.         0.         0.         1.
 0.         0.         0.         1.         0.         0.        ]"
832995,S3,"[0.         0.         0.         0.0949933  0.         0.
 0.         0.17721389 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
834541,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
835954,S3,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.19111271 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
837314,S3,"[0.24600363 0.09111925 0.         0.29686698 0.21761002 0.
 0.         0.20611845 0.         0.         0.1588821  1.
 1.         1.         1.         1.         0.         0.        ]"
839627,S3,"[0.         0.         0.         0.09653979 0.         0.
 0.         0.17942642 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
840706,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
841942,S3,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.15116124 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
842087,S3,"[0.         0.         0.         0.         0.         0.
 0.         0.17284556 0.         0.19810002 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
848641,S3,"[0.         0.         0.         0.11208651 0.         0.
 0.         0.18700771 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
851937,S3,"[0.21499363 0.         0.07730673 0.34560844 0.21662876 0.
 0.1041817  0.20166574 0.         0.         0.         1.
 0.         1.         0.         1.         0.         1.        ]"
852981,S3,"[0.12315845 0.         0.         0.15992187 0.12677212 0.
 0.1865118  0.22170086 0.         0.         0.         1.
 0.         0.         0.         1.         0.         0.        ]"
854796,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
856337,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
856383,S3,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.22433306 0.         0.
 0.         0.         0.         0.         0.         0.        ]"
857456,S3,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
